session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hikvixuh,2,q3vvrggo,46,captcha_quiz_a,Transcribe,1643056425,21,0,0
hikvixuh,8,qsnw5xbp,30,captcha_quiz_a,Transcribe,1643056426,13,0,0
hikvixuh,9,4f2j4znn,10,captcha_quiz_a,Transcribe,1643056426,3,0,0
hikvixuh,16,inqen719,0,,InitializeParticipant,1643056427,1,0,0
hikvixuh,6,k4ijpaz2,30,captcha_quiz_a,Transcribe,1643056428,13,0,0
hikvixuh,2,q3vvrggo,48,captcha_quiz_a,Transcribe,1643056429,22,0,0
hikvixuh,11,haot0ifr,8,captcha_quiz_a,Transcribe,1643056430,2,0,0
hikvixuh,8,qsnw5xbp,32,captcha_quiz_a,Transcribe,1643056431,14,0,0
hikvixuh,7,wqiotvd0,62,captcha_quiz_a,Transcribe,1643056431,29,0,0
hikvixuh,14,4aj23ncq,8,captcha_quiz_a,Transcribe,1643056432,2,0,0
hikvixuh,9,4f2j4znn,12,captcha_quiz_a,Transcribe,1643056433,4,0,0
hikvixuh,17,4h3hpeg8,0,,InitializeParticipant,1643056433,1,0,0
hikvixuh,7,wqiotvd0,64,captcha_quiz_a,Transcribe,1643056434,30,0,0
hikvixuh,6,k4ijpaz2,32,captcha_quiz_a,Transcribe,1643056435,14,0,0
hikvixuh,2,q3vvrggo,50,captcha_quiz_a,Transcribe,1643056435,23,0,0
hikvixuh,8,qsnw5xbp,34,captcha_quiz_a,Transcribe,1643056436,15,0,0
hikvixuh,11,haot0ifr,10,captcha_quiz_a,Transcribe,1643056437,3,0,0
hikvixuh,9,4f2j4znn,14,captcha_quiz_a,Transcribe,1643056437,5,0,0
hikvixuh,14,4aj23ncq,10,captcha_quiz_a,Transcribe,1643056438,3,0,0
